precinct_code,Voters Registered - Total,Ballots Cast Total -,Ballots Blank Cast -,Voter Turnout Total -
KT 3-F,903,684,7,0.7575
KT 3-G,829,679,3,0.8190999999999999
KT 3-H,1030,807,2,0.7835
KT 3-I,851,688,4,0.8085
KT 3-J,773,671,2,0.868
KT 3-K,1158,946,4,0.8169
KT 4-A,1153,922,2,0.7997
KT 4-B,1259,939,4,0.7458
KT 4-C,709,563,4,0.7940999999999999
KT 4-D,1079,814,4,0.7544
KT 4-E,971,731,4,0.7528
KT 4-F,937,770,1,0.8218000000000001
KT 4-G,1177,996,5,0.8462000000000001
KT 4-H,944,679,7,0.7193
KT 4-I,1106,848,6,0.7667
KT 4-J,1030,766,8,0.7437
KT 4-K,995,791,0,0.795
MBG 1-A,1151,900,2,0.7818999999999999
MBG 1-B,1173,859,11,0.7323000000000001
MBG 1-C,1065,776,3,0.7286
MBG 2-A,898,610,5,0.6793
MBG 2-B,1215,807,7,0.6642
MBG 2-C,1126,861,4,0.7646999999999999
MBG 3-A,822,596,3,0.7251000000000001
MBG 3-B,964,795,4,0.8247
MBG 3-C,963,695,4,0.7217
MBG 3-D,1189,843,5,0.7090000000000001
MBG 4-A,1008,740,0,0.7341
MBG 4-B,825,662,5,0.8024
MBG 4-C,775,597,0,0.7703
MBG 4-D,1349,1100,3,0.8154
MIATWP-A,1222,816,8,0.6678000000000001
MIATWP-B,1046,718,7,0.6864
MIATWP-C,1122,841,6,0.7495999999999999
MIATWP-D,1213,709,2,0.5845
MIATWP-E,1143,971,4,0.8495
MIATWP-F,1109,755,3,0.6808
MIATWP-G,953,680,7,0.7134999999999999
MIATWP-H,1053,703,9,0.6676000000000001
MIATWP-I,681,429,1,0.63
MIATWP-J,877,697,5,0.7948000000000001
MIATWP-K,1184,939,4,0.7931
MIATWP-L,815,616,5,0.7558
MIATWP-M,975,701,6,0.7190000000000001
MIATWP-N,968,801,2,0.8275
MIATWP-O,928,750,2,0.8081999999999999
MIATWP-P,1000,524,6,0.524
MIATWP-Q,1190,796,3,0.6689
MIATWP-R,652,428,3,0.6564
MIATWP-S,929,751,3,0.8084
MIATWP-T,798,625,5,0.7831999999999999
MIATWP-U,894,603,2,0.6745
MIATWP-V,1114,737,7,0.6616
MOR 1-A,786,464,1,0.5903
MOR 2-A,1208,834,2,0.6904
