precinct_code,Gerald Parker,Total Votes Cast,Overvotes,Undervotes,Contest Total,Montgomery Mary
WASTWP-Z,389,403,0,357,760,403
WASTWP-AA,402,409,0,419,828,409
WASTWP-BB,306,324,0,300,624,324
WASTWP-CC,449,488,0,540,1028,488
WCR-A,324,343,0,360,703,343
WCR-B,349,373,0,363,736,373
WCR-C,343,366,0,388,754,366
WCR-D,333,355,0,381,736,355
WCR-E,245,252,0,228,480,252
WCR-F,286,296,0,275,571,296
WCR-G,366,396,0,359,755,396
WCR-H,320,353,0,364,717,353
WCR-I,276,290,0,229,519,290
