precinct_code,VOTE FOR 1
DAY 18-D,169
DAY 19-A,50
DAY 19-B,134
DAY 19-C,105
DAY 20-A,508
DAY 20-B,520
DAY 20-C,385
DAY 20-D,409
DAY 21-A,117
DAY 21-B,101
DAY 21-C,131
DAY 22-A,227
DAY 22-B,166
DAY 22-C,206
DAY 23-A,206
ENG-A,486
ENG-B,502
ENG-C,434
ENG-D,624
ENG-E,497
ENG-F,472
ENG-G,529
ENG-H,403
ENG-I,366
ENG-J,417
FARM,413
GERTWP-A,770
GERTWP-B,743
GTN-A,555
GTN-B,553
GTN-C,560
GTN-D,629
HARTWP-A,316
HARTWP-B,378
HARTWP-C,374
HARTWP-D,389
HARTWP-E,239
HARTWP-F,136
HARTWP-G,224
HARTWP-H,200
HARTWP-I,230
HARTWP-J,172
HARTWP-K,221
HARTWP-L,349
HARTWP-M,274
HARTWP-N,353
HARTWP-O,276
HUB 1-A,541
HUB 1-B,620
HUB 1-C,386
HUB 1-D,564
HUB 2-A,536
HUB 2-B,582
HUB 3-A,421
HUB 3-B,331
HUB 3-C,376
HUB 3-D,594
HUB 3-E,395
HUB 4-A,514
HUB 4-B,484
HUB 4-C,534
HUB 4-D,493
HUB 5-A,502
HUB 5-B,480
HUB 5-C,492
HUB 5-D,520
HUB 6-A,404
HUB 6-B,590
HUB 6-C,519
HUB 6-D,545
JAKTWP-A,726
JAKTWP-B,532
JEFTWP-A,508
JEFTWP-B,261
JEFTWP-C,450
JEFTWP-D,186
JNLB-A,351
JNLB-B,562
KT 1-A,383
KT 1-B,457
KT 1-C,580
KT 1-D,542
KT 1-E,432
KT 1-F,430
KT 1-G,453
KT 1-H,581
KT 1-I,520
KT 2-A,475
KT 2-B,478
KT 2-C,498
KT 2-D,531
KT 2-E,566
KT 2-F,447
KT 2-G,681
KT 2-H,540
KT 2-I,434
KT 2-J,340
KT 3-A,497
KT 3-B,457
KT 3-C,523
KT 3-D,398
KT 3-E,527
KT 3-F,397
KT 3-G,470
KT 3-H,498
KT 3-I,451
KT 3-J,405
KT 3-K,609
KT 4-A,502
KT 4-B,458
KT 4-C,358
KT 4-D,492
KT 4-E,426
KT 4-F,438
KT 4-G,624
KT 4-H,442
KT 4-I,481
KT 4-J,435
KT 4-K,469
MBG 1-A,589
MBG 1-B,617
MBG 1-C,532
MBG 2-A,401
MBG 2-B,583
MBG 2-C,626
MBG 3-A,425
MBG 3-B,513
MBG 3-C,456
MBG 3-D,604
MBG 4-A,527
MBG 4-B,479
MBG 4-C,422
MBG 4-D,778
MIATWP-A,537
MIATWP-B,426
MIATWP-C,648
MIATWP-D,445
MIATWP-E,650
MIATWP-F,489
MIATWP-G,459
MIATWP-H,449
MIATWP-I,255
MIATWP-J,527
MIATWP-K,630
MIATWP-L,390
MIATWP-M,470
MIATWP-N,523
MIATWP-O,497
MIATWP-P,328
MIATWP-Q,491
MIATWP-R,273
MIATWP-S,541
MIATWP-T,408
MIATWP-U,376
MIATWP-V,504
MOR 1-A,326
MOR 2-A,569
MOR 3-A,355
MOR 4-A,281
MOR 4-B,193
OAK-A,436
OAK-B,494
OAK-C,325
OAK-D,357
OAK-E,317
OAK-F,419
OAK-G,392
OAK-H,349
PERTWP-A,465
PERTWP-B,503
PERTWP-C,582
PHBG,184
PM,360
PNLB,397
RV-A,467
RV-B,390
RV-C,468
RV-D,524
RV-E,464
RV-F,380
RV-G,377
RV-H,240
RV-I,363
RV-J,367
RV-K,437
RV-L,320
RV-M,494
RV-N,348
RV-O,481
RV-P,519
TR 1-A,313
TR 1-B,170
TR 1-C,137
TR 1-D,140
TR 1-E,202
TR 2-A,203
TR 2-B,218
TR 2-C,133
TR 2-D,185
TR 2-E,147
TR 3-A,234
TR 3-B,383
TR 3-C,235
TR 3-D,235
TR 4-A,175
TR 4-B,194
TR 4-C,158
TR 4-D,148
UN-A,347
UN-B,505
UN-C,587
UN-D,602
UN-E,600
VD-A,502
VD-B,340
VD-C,617
VD-D,504
VD-E,402
VD-F,582
VD-G,458
VD-H,673
VD-I,540
VD-J,672
VD-K,632
WASTWP-A,510
WASTWP-B,731
WASTWP-C,560
WASTWP-D,429
WASTWP-E,592
WASTWP-F,362
WASTWP-G,623
WASTWP-H,514
WASTWP-I,401
WASTWP-J,533
WASTWP-K,533
WASTWP-L,412
WASTWP-M,617
WASTWP-N,485
WASTWP-O,560
WASTWP-P,672
WASTWP-Q,603
WASTWP-R,502
WASTWP-S,470
WASTWP-T,432
WASTWP-U,602
WASTWP-V,528
WASTWP-W,351
WASTWP-X,474
WASTWP-Y,699
WASTWP-Z,488
WASTWP-AA,517
WASTWP-BB,377
WASTWP-CC,618
WCR-A,470
WCR-B,492
WCR-C,540
WCR-D,500
WCR-E,273
WCR-F,351
WCR-G,467
WCR-H,499
WCR-I,286
