Precinct,Yes,No,Total Votes Cast,Overvotes,Undervotes,Contest Total
DAY 10-C,244,77,321,0,3,324
DAY 10-D,266,108,374,0,3,377
DAY 10-E,253,84,337,0,3,340
DAY 11-A,193,66,259,0,0,259
DAY 11-B,158,56,214,0,1,215
DAY 11-C,195,45,240,0,1,241
DAY 11-D,233,131,364,0,3,367
DAY 11-E,222,73,295,0,3,298
DAY 12-A,308,103,411,0,4,415
DAY 12-B,286,46,332,0,3,335
DAY 12-C,222,89,311,0,1,312
DAY 12-D,158,40,198,0,4,202
DAY 13-A,170,56,226,0,3,229
DAY 13-B,91,11,102,0,3,105
DAY 14-A,208,75,283,0,7,290
DAY 14-B,79,27,106,0,3,109
DAY 14-C,124,56,180,0,2,182
DAY 14-D,243,56,299,0,8,307
DAY 15-A,207,51,258,0,5,263
DAY 15-B,242,48,290,0,4,294
DAY 15-C,160,43,203,0,2,205
DAY 15-D,148,73,221,0,5,226
DAY 16-A,205,72,277,0,2,279
DAY 16-B,153,24,177,0,2,179
DAY 16-C,150,49,199,0,1,200
DAY 16-D,323,123,446,0,4,450
DAY 16-E,212,49,261,0,2,263
DAY 17-A,158,40,198,0,1,199
DAY 17-B,206,45,251,0,2,253
DAY 17-C,215,62,277,0,5,282
DAY 17-D,141,39,180,0,3,183
DAY 18-A,147,53,200,0,2,202
DAY 18-B,268,89,357,0,5,362
DAY 18-C,171,34,205,0,4,209
DAY 18-D,159,42,201,0,1,202
DAY 19-A,81,14,95,0,2,97
DAY 19-B,202,47,249,0,5,254
DAY 19-C,173,50,223,0,2,225
DAY 20-A,374,177,551,0,2,553
DAY 20-B,423,139,562,0,2,564
DAY 20-C,242,137,379,0,1,380
DAY 20-D,259,120,379,0,6,385
DAY 21-A,152,35,187,0,5,192
DAY 21-B,160,26,186,0,3,189
DAY 21-C,230,63,293,0,4,297
DAY 22-A,344,93,437,0,11,448
DAY 22-B,271,101,372,0,1,373
DAY 22-C,362,94,456,0,15,471
DAY 23-A,327,61,388,0,6,394
ENG-A,334,272,606,0,9,615
ENG-B,294,243,537,0,7,544
ENG-C,289,160,449,0,3,452
ENG-D,334,286,620,0,4,624
ENG-E,337,255,592,0,13,605
ENG-F,277,242,519,0,5,524
ENG-G,291,290,581,0,10,591
ENG-H,240,209,449,0,7,456
ENG-I,204,197,401,0,7,408
ENG-J,291,189,480,0,5,485
FARM,205,192,397,0,9,406
GERTWP-A,299,338,637,0,10,647
GERTWP-B,325,319,644,0,17,661
GTN-A,326,255,581,0,11,592
GTN-B,243,192,435,0,9,444
GTN-C,269,304,573,0,7,580
GTN-D,306,201,507,0,4,511
HARTWP-A,154,69,223,0,3,226
HARTWP-B,199,96,295,0,2,297
HARTWP-C,202,82,284,0,5,289
HARTWP-D,360,168,528,0,10,538
HARTWP-E,109,78,187,0,2,189
HARTWP-F,158,44,202,0,2,204
HARTWP-G,220,101,321,0,6,327
HARTWP-H,223,81,304,0,5,309
HARTWP-I,204,68,272,0,2,274
HARTWP-J,239,98,337,0,3,340
HARTWP-K,218,65,283,0,3,286
HARTWP-L,358,181,539,0,9,548
HARTWP-M,372,151,523,0,8,531
HARTWP-N,198,92,290,0,5,295
HARTWP-O,305,158,463,0,10,473
HUB 1-A,276,204,480,0,6,486
HUB 1-B,407,282,689,0,8,697
HUB 1-C,248,155,403,0,2,405
HUB 1-D,320,272,592,0,2,594
HUB 2-A,307,240,547,0,8,555
HUB 2-B,318,278,596,0,10,606
HUB 3-A,224,177,401,0,6,407
HUB 3-B,209,83,292,0,6,298
HUB 3-C,228,148,376,0,5,381
HUB 3-D,298,232,530,0,2,532
HUB 3-E,236,153,389,0,4,393
HUB 4-A,305,189,494,0,6,500
HUB 4-B,300,190,490,0,10,500
HUB 4-C,320,162,482,0,3,485
HUB 4-D,307,183,490,0,1,491
HUB 5-A,279,155,434,0,4,438
HUB 5-B,290,140,430,0,4,434
HUB 5-C,319,158,477,0,2,479
HUB 5-D,294,139,433,0,7,440
HUB 6-A,245,176,421,0,3,424
HUB 6-B,360,255,615,0,2,617
HUB 6-C,300,247,547,0,10,557
HUB 6-D,241,240,481,0,2,483
JAKTWP-A,291,369,660,0,13,673
JAKTWP-B,200,271,471,0,8,479
JEFTWP-A,358,221,579,0,10,589
JEFTWP-B,189,86,275,0,5,280
JEFTWP-C,234,198,432,0,8,440
JEFTWP-D,317,103,420,0,5,425
JNLB-A,167,149,316,0,5,321
JNLB-B,224,236,460,0,8,468
KT 1-A,309,124,433,0,1,434
KT 1-B,240,161,401,0,3,404
KT 1-C,355,218,573,0,6,579
KT 1-D,346,186,532,0,1,533
KT 1-E,300,134,434,0,4,438
KT 1-F,308,128,436,0,5,441
KT 1-G,326,149,475,0,7,482
KT 1-H,408,183,591,0,12,603
KT 1-I,287,192,479,0,3,482
KT 2-A,365,155,520,0,6,526
KT 2-B,279,253,532,0,5,537
KT 2-C,317,224,541,0,8,549
KT 2-D,366,176,542,0,4,546
KT 2-E,341,245,586,0,4,590
KT 2-F,280,144,424,0,7,431
KT 2-G,431,303,734,0,5,739
KT 2-H,350,249,599,0,7,606
KT 2-I,252,203,455,0,4,459
KT 2-J,246,99,345,0,0,345
KT 3-A,339,236,575,0,7,582
KT 3-B,354,236,590,0,3,593
KT 3-C,289,315,604,0,5,609
KT 3-D,327,123,450,0,4,454
KT 3-E,328,246,574,0,6,580
KT 3-F,296,158,454,0,3,457
KT 3-G,290,195,485,0,4,489
KT 3-H,367,177,544,0,10,554
KT 3-I,282,259,541,0,6,547
KT 3-J,300,231,531,0,6,537
KT 3-K,324,344,668,0,12,680
KT 4-A,473,241,714,0,6,720
KT 4-B,510,162,672,0,8,680
KT 4-C,253,161,414,0,5,419
KT 4-D,362,212,574,0,7,581
KT 4-E,332,207,539,0,3,542
KT 4-F,365,231,596,0,6,602
KT 4-G,417,383,800,0,6,806
KT 4-H,282,127,409,0,2,411
KT 4-I,381,228,609,0,5,614
KT 4-J,291,218,509,0,11,520
KT 4-K,423,166,589,0,6,595
MBG 1-A,321,305,626,0,13,639
MBG 1-B,321,212,533,0,6,539
MBG 1-C,364,173,537,0,9,546
MBG 2-A,254,134,388,0,4,392
MBG 2-B,292,164,456,0,11,467
MBG 2-C,338,220,558,0,8,566
MBG 3-A,184,179,363,0,13,376
MBG 3-B,313,251,564,0,10,574
MBG 3-C,177,213,390,0,12,402
MBG 3-D,306,250,556,0,15,571
MBG 4-A,242,261,503,0,5,508
MBG 4-B,213,257,470,0,6,476
MBG 4-C,220,187,407,0,5,412
MBG 4-D,305,432,737,0,14,751
MIATWP-A,262,224,486,0,12,498
MIATWP-B,245,149,394,0,5,399
MIATWP-C,270,195,465,0,4,469
MIATWP-D,226,174,400,0,1,401
MIATWP-E,339,383,722,0,15,737
MIATWP-F,284,163,447,0,10,457
MIATWP-G,275,119,394,0,5,399
MIATWP-H,281,130,411,0,3,414
MIATWP-I,167,85,252,0,4,256
MIATWP-J,207,199,406,0,1,407
MIATWP-K,331,283,614,0,7,621
MIATWP-L,240,169,409,0,4,413
MIATWP-M,250,181,431,0,7,438
MIATWP-N,257,275,532,0,8,540
MIATWP-O,289,246,535,0,5,540
MIATWP-P,202,65,267,0,2,269
MIATWP-Q,320,144,464,0,4,468
MIATWP-R,154,93,247,0,4,251
MIATWP-S,241,224,465,0,5,470
MIATWP-T,230,153,383,0,5,388
MIATWP-U,242,118,360,0,3,363
MIATWP-V,246,128,374,0,1,375
MOR 1-A,162,81,243,0,0,243
MOR 2-A,321,190,511,0,6,517
MOR 3-A,204,94,298,0,1,299
MOR 4-A,181,79,260,0,3,263
MOR 4-B,144,53,197,0,2,199
OAK-A,423,209,632,0,11,643
OAK-B,355,285,640,0,8,648
OAK-C,351,159,510,0,12,522
OAK-D,362,174,536,0,10,546
OAK-E,394,188,582,0,7,589
OAK-F,413,266,679,0,6,685
OAK-G,330,220,550,0,13,563
OAK-H,240,203,443,0,3,446
PERTWP-A,136,254,390,0,6,396
PERTWP-B,193,264,457,0,6,463
PERTWP-C,222,271,493,0,6,499
PHBG,109,66,175,0,3,178
PM,127,72,199,0,2,201
PNLB,170,137,307,0,7,314
RV-A,252,229,481,0,4,485
RV-B,152,130,282,0,9,291
RV-C,285,105,390,0,3,393
RV-D,288,166,454,0,8,462
RV-E,214,108,322,0,2,324
RV-F,221,150,371,0,2,373
RV-G,207,136,343,0,3,346
RV-H,137,37,174,0,0,174
RV-I,179,120,299,0,0,299
RV-J,187,143,330,0,4,334
RV-K,256,227,483,0,4,487
RV-L,134,93,227,0,0,227
RV-M,219,187,406,0,3,409
RV-N,173,82,255,0,2,257
RV-O,247,174,421,0,6,427
RV-P,297,172,469,0,3,472
TR 1-A,304,176,480,0,10,490
TR 1-B,181,106,287,0,3,290
TR 1-C,233,136,369,0,10,379
TR 1-D,197,67,264,0,6,270
TR 1-E,335,148,483,0,10,493
TR 2-A,262,101,363,0,4,367
TR 2-B,295,98,393,0,16,409
TR 2-C,191,93,284,0,4,288
TR 2-D,168,127,295,0,2,297
TR 2-E,229,100,329,0,4,333
TR 3-A,205,87,292,0,1,293
TR 3-B,203,173,376,0,0,376
TR 3-C,160,95,255,0,1,256
TR 3-D,289,133,422,0,11,433
TR 4-A,296,139,435,0,9,444
TR 4-B,233,63,296,0,5,301
TR 4-C,158,60,218,0,1,219
TR 4-D,206,105,311,0,5,316
UN-A,193,107,300,0,5,305
UN-B,280,219,499,0,3,502
UN-C,257,254,511,0,9,520
UN-D,303,284,587,0,3,590
UN-E,332,217,549,0,4,553
VD-A,267,174,441,0,3,444
VD-B,172,119,291,0,4,295
VD-C,317,234,551,0,3,554
VD-D,256,239,495,0,5,500
VD-E,208,165,373,0,2,375
VD-F,333,303,636,0,12,648
VD-G,244,252,496,0,9,505
VD-H,301,358,659,0,8,667
VD-I,263,254,517,0,9,526
VD-J,302,350,652,0,8,660
VD-K,337,246,583,0,6,589
WASTWP-A,291,303,594,0,3,597
WASTWP-B,368,367,735,0,8,743
WASTWP-C,336,340,676,0,9,685
WASTWP-D,275,225,500,0,8,508
WASTWP-E,356,364,720,0,5,725
WASTWP-F,223,208,431,0,7,438
WASTWP-G,397,346,743,0,10,753
WASTWP-H,295,335,630,0,4,634
WASTWP-I,282,162,444,0,5,449
WASTWP-J,322,245,567,0,7,574
WASTWP-K,319,242,561,0,7,568
WASTWP-L,291,201,492,0,7,499
WASTWP-M,299,378,677,0,13,690
WASTWP-N,364,193,557,0,11,568
WASTWP-O,223,327,550,0,9,559
WASTWP-P,322,323,645,0,9,654
WASTWP-Q,366,266,632,0,6,638
WASTWP-R,259,232,491,0,9,500
WASTWP-S,233,291,524,0,7,531
WASTWP-T,301,230,531,0,7,538
WASTWP-U,316,347,663,0,4,667
WASTWP-V,316,295,611,0,6,617
WASTWP-W,220,166,386,0,4,390
WASTWP-X,245,273,518,0,8,526
WASTWP-Y,359,322,681,0,12,693
WASTWP-Z,334,256,590,0,8,598
WASTWP-AA,288,326,614,0,8,622
WASTWP-BB,235,177,412,0,4,416
WASTWP-CC,415,338,753,0,8,761
WCR-A,304,122,426,0,1,427
WCR-B,277,198,475,0,1,476
WCR-C,272,200,472,0,5,477
WCR-D,299,205,504,0,5,509
WCR-E,193,74,267,0,4,271
WCR-F,214,107,321,0,2,323
WCR-G,278,193,471,0,2,473
WCR-H,278,137,415,0,1,416
WCR-I,195,47,242,0,4,246
